ID,digit,prop1,prop2
1,5,0.6341463414634146,0.19607843137254902
2,5,0.14634146341463414,0.17647058823529413
3,7,0.3902439024390244,0.39215686274509803
4,7,0.3170731707317073,0.27450980392156865
5,5,0.2682926829268293,0.1568627450980392
6,7,0.36585365853658536,0.3137254901960784
7,7,0.2682926829268293,0.17647058823529413
8,5,0.6829268292682927,0.1568627450980392
9,7,0.3902439024390244,0.45098039215686275
10,5,0.2926829268292683,0.13725490196078433
11,7,0.3170731707317073,0.3333333333333333
12,7,0.36585365853658536,0.3333333333333333
13,7,0.34146341463414637,0.2549019607843137
14,7,0.3902439024390244,0.39215686274509803
15,7,0.34146341463414637,0.27450980392156865
16,5,0.4634146341463415,0.17647058823529413
17,7,0.3902439024390244,0.35294117647058826
18,7,0.2926829268292683,0.3137254901960784
19,7,0.36585365853658536,0.37254901960784315
20,5,0.6097560975609756,0.19607843137254902
21,5,0.6341463414634146,0.27450980392156865
22,7,0.3170731707317073,0.21568627450980393
23,7,0.3170731707317073,0.27450980392156865
24,5,0.4878048780487805,0.19607843137254902
25,7,0.3902439024390244,0.2549019607843137
26,7,0.0975609756097561,0.21568627450980393
27,7,0.5853658536585366,0.3333333333333333
28,5,0.14634146341463414,0.17647058823529413
29,5,0.5609756097560976,0.2549019607843137
30,5,0.6097560975609756,0.3333333333333333
31,7,0.4146341463414634,0.45098039215686275
32,5,0.5365853658536586,0.17647058823529413
33,7,0.3902439024390244,0.4117647058823529
34,7,0.34146341463414637,0.35294117647058826
35,7,0.34146341463414637,0.11764705882352941
36,7,0.4146341463414634,0.43137254901960786
37,5,0.6341463414634146,0.1568627450980392
38,7,0.43902439024390244,0.37254901960784315
39,7,0.2926829268292683,0.3137254901960784
40,5,0.8292682926829268,0.2549019607843137
41,5,0.6097560975609756,0.23529411764705882
42,7,0.3902439024390244,0.3137254901960784
43,5,0.6341463414634146,0.45098039215686275
44,7,0.36585365853658536,0.2549019607843137
45,5,0.36585365853658536,0.19607843137254902
46,7,0.43902439024390244,0.35294117647058826
47,5,0.7560975609756098,0.21568627450980393
48,5,0.5121951219512195,0.23529411764705882
49,5,0.5853658536585366,0.3137254901960784
50,5,0.36585365853658536,0.3333333333333333
51,5,0.14634146341463414,0.19607843137254902
52,7,0.2926829268292683,0.29411764705882354
53,7,0.3902439024390244,0.3333333333333333
54,7,0.36585365853658536,0.3137254901960784
55,5,0.6341463414634146,0.4117647058823529
56,7,0.36585365853658536,0.3333333333333333
57,5,0.2682926829268293,0.21568627450980393
58,7,0.4146341463414634,0.3333333333333333
59,5,0.7073170731707317,0.27450980392156865
60,5,0.6097560975609756,0.1568627450980392
61,5,0.2682926829268293,0.1568627450980392
62,7,0.36585365853658536,0.39215686274509803
63,7,0.34146341463414637,0.2549019607843137
64,7,0.4146341463414634,0.37254901960784315
65,7,0.36585365853658536,0.35294117647058826
66,7,0.36585365853658536,0.19607843137254902
